symbol,name,sector,exch,price,mktcap_b,pe,pb,roe,ret_3m,ret_6m,ret_12m,above_ma50,above_ma200,rsi,beta,vol_ann,adv_vnd,from_52w_high,from_52w_low,value_score,quality_score,momentum_score,liquidity_score,composite
TPB,Ngân hàng Thương mại cổ phần Tiên Phong,Ngân hàng,HOSE,14.0,45494.0,5.24,0.92,17.51,-13.85,-11.39,-25.19,False,False,28.12,0.9,27.56,97704345000.0,-26.5,0.72,80.3,77.0,41.8,65.8,62.3
TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Khác,HOSE,25.7,2448.0,18.36,1.36,7.43,-12.44,-29.49,-27.98,False,False,15.63,0.61,33.12,2133727750.0,-40.3,8.67,32.6,27.4,22.3,11.4,21.5
VCB,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,Ngân hàng,HOSE,58.9,500505.0,13.99,2.19,15.67,-3.11,2.4,-8.81,True,False,42.86,0.74,27.59,311399198000.0,-21.85,9.07,32.9,67.3,74.4,91.2,61.1
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng,HOSE,14.3,14449.0,2.52,0.82,32.59,-18.92,-27.83,-41.79,False,False,9.76,0.8,34.94,32817283250.0,-43.03,0.0,87.8,97.3,15.6,45.6,57.8
VCI,Công ty Cổ phần Chứng khoán VIETCAP,Chứng khoán,HOSE,20.15,31445.0,10.89,0.67,6.12,-19.4,-23.25,-36.96,False,False,31.01,1.05,38.0,226454970000.0,-37.53,9.21,71.0,20.4,19.8,86.0,43.2
VCS,Công ty cổ phần VICOSTONE,VLXD,HNX,31.2,6416.0,7.19,0.97,13.53,-14.75,-17.73,-32.61,False,False,35.48,0.45,20.9,1321118150.0,-34.92,0.97,73.6,57.5,34.0,7.9,43.0
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,Chứng khoán,HOSE,10.7,4080.0,11.76,0.92,7.78,-26.46,-26.71,-52.97,False,False,23.64,1.08,39.64,7927409250.0,-52.97,2.88,61.5,31.0,10.7,22.8,29.0
VGC,Tổng Công ty Viglacera - CTCP,Khác,HOSE,39.85,20803.0,12.73,2.07,16.24,-1.83,-3.72,-24.0,True,False,45.14,0.93,37.32,12669943500.0,-26.84,14.18,36.5,71.7,68.6,29.8,50.4
VHC,Công ty Cổ phần Vĩnh Hoàn,Thực phẩm đồ uống,HOSE,50.2,13737.0,7.94,1.17,14.76,-14.19,-12.7,-20.93,False,False,28.57,0.59,29.9,14430707500.0,-27.46,0.2,64.9,62.4,39.8,31.6,47.8
VHM,Công ty cổ phần Vinhomes,BĐS dân dụng,HOSE,68.1,581610.0,6.68,1.17,17.6,-8.99,41.43,37.71,False,True,27.56,1.8,54.81,662522290500.0,-13.76,62.76,69.8,77.9,79.1,99.1,82.8
VIB,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,Ngân hàng,HOSE,13.35,59230.0,6.24,0.97,15.51,-8.92,-8.22,-26.75,False,False,43.46,0.85,24.84,68032736480.0,-26.75,3.31,76.5,66.4,53.7,55.3,60.4
VIC,Tập đoàn Vingroup - Công ty Cổ phần,Khác,HOSE,235.0,1441028.0,158.78,12.21,7.69,6.92,74.07,248.15,True,True,49.01,1.66,52.59,1464726639500.0,-8.24,248.15,0.9,29.2,95.8,100.0,57.0
VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Khác,HOSE,9.74,801.0,7.79,0.52,6.69,-8.79,-9.94,-24.04,False,False,51.02,0.38,19.02,350414350.0,-24.04,1.56,84.8,21.2,51.9,0.9,41.6
VIX,Công ty cổ phần Chứng khoán VIX,Chứng khoán,HOSE,12.8,42758.0,3.63,0.6,16.64,-22.76,-17.3,-58.12,False,False,30.67,1.44,48.8,568468696750.0,-59.81,14.38,93.8,74.3,27.5,97.4,66.9
VJC,Công ty cổ phần Hàng không Vietjet,Hàng không,HOSE,138.0,104183.0,37.0,3.17,8.58,-1.08,14.05,26.34,True,True,74.68,0.66,40.1,158995694500.0,-18.12,40.16,9.8,33.6,83.5,78.9,53.1
